               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.019023,            0.061635,           0.0091035,              0.9729,             0.96051,             0.97738,             0.80899,            0.019041,            0.050007,           0.0083989,            0.003565,            0.003565,            0.003565
                  67,            0.019004,            0.059904,           0.0090938,             0.97365,             0.96113,             0.97635,             0.80414,            0.019373,            0.050424,           0.0083058,            0.003466,            0.003466,            0.003466
                  68,            0.018801,            0.059061,           0.0088688,             0.97304,             0.96504,             0.97867,             0.81011,            0.018925,                0.05,           0.0082232,            0.003367,            0.003367,            0.003367
                  69,            0.018825,            0.060036,            0.008999,             0.97266,             0.96303,             0.97831,             0.80571,            0.019175,            0.049949,           0.0083205,            0.003268,            0.003268,            0.003268
                  70,            0.018431,            0.057956,           0.0087276,             0.97314,             0.96219,             0.97763,             0.80859,            0.018968,            0.050013,           0.0083046,            0.003169,            0.003169,            0.003169
                  71,             0.01865,            0.059376,           0.0090099,               0.972,             0.96154,             0.97633,              0.8062,            0.019301,            0.050222,           0.0083408,             0.00307,             0.00307,             0.00307
                  72,            0.018246,            0.058156,           0.0087934,             0.97319,             0.95881,             0.97674,             0.80749,            0.019002,            0.050397,           0.0082732,            0.002971,            0.002971,            0.002971
                  73,            0.018412,            0.057887,            0.008744,             0.97178,             0.96259,             0.97816,             0.81258,            0.018815,            0.049855,           0.0082243,            0.002872,            0.002872,            0.002872
                  74,            0.018217,            0.057357,           0.0087724,              0.9712,             0.96394,             0.97679,             0.80278,            0.019363,            0.050995,           0.0081606,            0.002773,            0.002773,            0.002773
                  75,            0.018097,            0.058045,           0.0086543,             0.97454,             0.96278,             0.97752,             0.81146,            0.018958,            0.050129,            0.008109,            0.002674,            0.002674,            0.002674
                  76,            0.018254,            0.058259,           0.0087002,             0.97474,             0.96022,             0.97705,              0.8092,            0.019132,            0.050592,           0.0081523,            0.002575,            0.002575,            0.002575
                  77,             0.01792,            0.056483,           0.0086154,             0.97354,             0.96251,             0.97742,             0.81368,            0.018808,             0.05005,           0.0081657,            0.002476,            0.002476,            0.002476
                  78,            0.017481,            0.055193,           0.0086305,             0.97382,             0.95989,             0.97536,             0.81127,            0.018793,            0.050737,           0.0082219,            0.002377,            0.002377,            0.002377
                  79,            0.017366,            0.056122,           0.0085791,             0.97736,              0.9611,              0.9759,             0.81237,            0.018655,            0.050719,           0.0081833,            0.002278,            0.002278,            0.002278
                  80,              0.0173,            0.056767,           0.0084674,             0.97447,             0.96275,             0.97511,             0.80372,            0.019085,            0.051793,            0.008058,            0.002179,            0.002179,            0.002179
                  81,            0.017491,            0.056071,           0.0087067,             0.97416,             0.96267,             0.97568,             0.80845,            0.018972,            0.051707,           0.0080602,             0.00208,             0.00208,             0.00208
                  82,            0.017555,            0.056299,           0.0085367,               0.973,             0.96291,             0.97637,             0.80979,            0.018729,            0.051154,           0.0080513,            0.001981,            0.001981,            0.001981
